epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.976,0.57697,1.99525,1.12566,0.49797,0.39171,0.34925,0.32828,0.44053,1.61279,0.8836,0.00332799,0.00332799,0.00332799
2,203.317,0.45703,1.13844,1.01991,0.65229,0.41691,0.4192,0.3853,0.50693,1.25849,0.93959,0.00663934,0.00663934,0.00663934
3,290.083,0.50866,1.14674,1.04342,0.75885,0.40403,0.46621,0.42695,0.51183,1.30822,0.9642,0.00992869,0.00992869,0.00992869
4,376.789,0.53338,1.15828,1.04864,0.3248,0.43985,0.37439,0.32556,0.70994,1.519,1.13529,0.009901,0.009901,0.009901
5,463.383,0.50418,1.05827,1.03286,0.59653,0.53956,0.57129,0.52078,0.46055,1.02103,0.88133,0.009868,0.009868,0.009868
6,552.874,0.48178,0.99597,1.02075,0.29192,0.34985,0.36317,0.32867,0.51987,1.50535,0.95947,0.009835,0.009835,0.009835
7,640.918,0.45653,0.9307,1.00819,0.62979,0.60685,0.63805,0.59905,0.43821,0.96349,0.86454,0.009802,0.009802,0.009802
8,728.093,0.43747,0.87652,1.00072,0.62355,0.60563,0.6347,0.59802,0.43754,0.90196,0.86157,0.009769,0.009769,0.009769
9,816.197,0.43246,0.85798,0.99739,0.42942,0.67284,0.57679,0.53815,0.45909,1.05361,0.8976,0.009736,0.009736,0.009736
10,903.471,0.41633,0.8192,0.9921,0.64148,0.57402,0.6517,0.60306,0.44966,0.85505,0.88172,0.009703,0.009703,0.009703
11,992.301,0.40562,0.78366,0.98664,0.54806,0.59177,0.58836,0.55388,0.4153,0.96012,0.84059,0.00967,0.00967,0.00967
12,1079.64,0.39838,0.76913,0.98191,0.51502,0.65215,0.60902,0.5715,0.42674,0.89416,0.85854,0.009637,0.009637,0.009637
13,1166.98,0.39279,0.74299,0.98121,0.63758,0.61451,0.63167,0.59753,0.39799,0.81073,0.83601,0.009604,0.009604,0.009604
14,1254.08,0.38627,0.72076,0.97378,0.66578,0.58702,0.62153,0.58843,0.42056,0.89739,0.85678,0.009571,0.009571,0.009571
15,1342.56,0.38421,0.70723,0.97914,0.66451,0.61648,0.6518,0.61311,0.41815,0.793,0.84139,0.009538,0.009538,0.009538
16,1430.14,0.37866,0.69634,0.97474,0.68721,0.60461,0.67893,0.63697,0.41877,0.79049,0.84505,0.009505,0.009505,0.009505
17,1517.56,0.37527,0.67688,0.97411,0.67298,0.65518,0.71176,0.65742,0.41922,0.83896,0.85221,0.009472,0.009472,0.009472
18,1621.68,0.36558,0.65251,0.9712,0.74059,0.65491,0.71687,0.68358,0.39052,0.85779,0.82303,0.009439,0.009439,0.009439
19,1720.75,0.36724,0.65503,0.9709,0.71251,0.73637,0.74524,0.70344,0.41863,0.74463,0.84498,0.009406,0.009406,0.009406
20,1823.89,0.36002,0.64381,0.96704,0.7007,0.65762,0.69393,0.65571,0.41332,0.78292,0.84295,0.009373,0.009373,0.009373
21,1910.77,0.356,0.62983,0.96525,0.61683,0.62964,0.63269,0.60059,0.40264,0.84751,0.81794,0.00934,0.00934,0.00934
