epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48865,1.31496,2.58473,1.41263,0.66499,0.59158,0.64909,0.54936,0.69381,1.59847,0.92361,0.00016362,0.00016362,0.00016362
2,4.53275,1.23354,1.76827,1.38012,0.9268,0.66418,0.73846,0.61133,0.67807,1.16648,0.9392,0.000335775,0.000335775,0.000335775
3,6.49854,1.08608,1.41509,1.24737,0.94625,0.67754,0.74145,0.61108,0.70094,0.93976,0.92905,0.00050736,0.00050736,0.00050736
4,8.4307,1.16099,1.41278,1.32287,0.89056,0.67166,0.73304,0.59003,0.72299,0.8574,0.93975,0.000678375,0.000678375,0.000678375
5,10.2924,1.09406,1.24153,1.25061,0.94781,0.62008,0.74063,0.57291,0.79431,0.78872,0.96925,0.000848821,0.000848821,0.000848821
6,12.2245,1.12845,1.21962,1.28606,0.93742,0.66435,0.76158,0.57228,0.81786,0.76307,0.96585,0.000901501,0.000901501,0.000901501
7,14.2004,1.08543,1.13458,1.22645,0.66951,0.73578,0.69967,0.54452,0.7813,0.75372,0.94001,0.000900001,0.000900001,0.000900001
8,16.117,1.10632,1.11821,1.20086,0.65105,0.71197,0.7134,0.52415,0.80386,0.72771,0.96052,0.000898501,0.000898501,0.000898501
9,18.027,1.10282,1.09302,1.24755,0.73517,0.7543,0.76204,0.53391,0.86177,0.77202,0.96592,0.000897001,0.000897001,0.000897001
10,19.9498,1.04108,0.96454,1.14336,0.68,0.78274,0.79654,0.57863,0.83376,0.80185,0.959,0.000895501,0.000895501,0.000895501
11,21.8495,1.02427,0.92112,1.10499,0.73679,0.68504,0.76068,0.56403,0.88452,0.86976,0.99022,0.000894001,0.000894001,0.000894001
12,23.754,1.06746,1.034,1.185,0.86248,0.65939,0.7687,0.55962,0.86485,0.88943,0.97694,0.000892502,0.000892502,0.000892502
13,25.6943,0.91004,0.85314,1.0565,0.60038,0.69796,0.71452,0.54076,0.83689,0.86133,0.96027,0.000891002,0.000891002,0.000891002
14,27.5791,0.98643,0.87342,1.09857,0.69141,0.6804,0.72439,0.5387,0.86006,0.85909,0.95702,0.000889502,0.000889502,0.000889502
15,29.4722,0.97664,0.87956,1.10653,0.82579,0.67387,0.74,0.54213,0.84449,0.82464,0.98527,0.000888002,0.000888002,0.000888002
16,31.2954,0.89539,0.84009,1.09114,0.7613,0.6768,0.71837,0.55013,0.8468,0.79167,1.00418,0.000886502,0.000886502,0.000886502
17,33.2084,0.93776,0.88593,1.12644,0.74613,0.64877,0.71767,0.52066,0.85844,0.84813,1.01352,0.000885002,0.000885002,0.000885002
18,35.0639,0.95533,0.82791,1.0832,0.8819,0.62064,0.72465,0.52834,0.90286,0.85694,1.01954,0.000883503,0.000883503,0.000883503
19,36.91,0.89028,0.80714,1.08831,0.72639,0.64367,0.6496,0.49839,0.94332,0.84438,1.06595,0.000882003,0.000882003,0.000882003
20,38.8132,0.95302,0.90246,1.13711,0.76344,0.64557,0.70393,0.49796,0.9441,0.89622,0.99305,0.000880503,0.000880503,0.000880503
21,40.6688,0.90984,0.82156,1.1151,0.7856,0.71559,0.75925,0.54046,0.89119,0.9312,0.97454,0.000879003,0.000879003,0.000879003
22,42.5313,0.90521,0.82388,1.07767,0.72859,0.59409,0.68927,0.50114,0.91309,0.92712,0.9697,0.000877503,0.000877503,0.000877503
23,44.4313,0.95354,0.79047,1.0802,0.76893,0.58929,0.67098,0.50997,0.91286,0.80792,0.99494,0.000876003,0.000876003,0.000876003
24,46.306,0.86182,0.81931,1.10431,0.81079,0.54464,0.67292,0.52698,0.87172,0.80186,0.95958,0.000874503,0.000874503,0.000874503
25,48.251,0.87231,0.73361,1.03152,0.66573,0.61343,0.65225,0.48095,0.90472,0.96097,0.97473,0.000873004,0.000873004,0.000873004
26,50.1623,0.89326,0.79484,1.06654,0.57274,0.64368,0.62118,0.47228,0.89836,0.99752,0.97389,0.000871504,0.000871504,0.000871504
27,52.1164,0.89276,0.75392,1.06981,0.60307,0.60234,0.58459,0.44535,0.92326,1.07432,1.01745,0.000870004,0.000870004,0.000870004
28,54.0779,0.8732,0.7536,1.05461,0.62472,0.62011,0.58649,0.44138,0.88603,1.04789,0.98883,0.000868504,0.000868504,0.000868504
29,55.9616,0.87066,0.74662,1.06372,0.67039,0.61607,0.62864,0.46063,0.85287,1.04846,0.98154,0.000867004,0.000867004,0.000867004
30,57.9259,0.91485,0.83197,1.13204,0.6893,0.60075,0.65563,0.49369,0.84329,1.05461,0.97208,0.000865504,0.000865504,0.000865504
31,59.7978,0.92872,0.79784,1.10327,0.60191,0.62228,0.64472,0.47251,0.94223,1.0396,1.02689,0.000864004,0.000864004,0.000864004
32,61.6782,0.86361,0.73908,1.09554,0.66957,0.62302,0.66359,0.49542,0.94616,0.9953,0.99883,0.000862505,0.000862505,0.000862505
33,63.5255,0.89285,0.70841,1.06134,0.66311,0.67285,0.69078,0.50736,0.93593,0.94499,0.98711,0.000861005,0.000861005,0.000861005
